Account Number, Name, Address, City, State, ZIP, Geocode State, Geocode County, Geocode Tract, Geocode MSA
"207","CHOICE FINANCIAL SAVINGS BANK","101 BROWN ST W","COMFREY","MN","56019","27","015","9606.00",""
"208","BANK OF PAXTON","203 N OAK ST","PAXTON","NE","69155","31","101","0003.00",""
"209","FIRST COMMUNITY BANK","120 W PLAZA","TAOS","NM","87571","35","055","9401.00",""
"210","THE FIRST STATE BANK","HIGHWAYS 155 AND 49","AVINGER","TX","75630","48","315","9999.03",""
"211","WEMPLE STATE BANK","197 W STATE ST","WAVERLY","IL","62692","17","137","9523.00",""
"212","CARROLLTON BANK","344 N CHARLES ST","BALTIMORE","MD","21201","24","510","0401.00","12580"
"213","FIRST STATE BANK","401 9TH ST","BEAVER CITY","NE","68926","31","065","9639.00",""
"214","DAKOTA HERITAGE STATE BANK","221 MAIN ST","CHANCELLOR","SD","57015","46","125","9651.00","43620"
"215","BANK OF KANSAS CITY, NATIONAL ASSOCIATIO","7500 COLLEGE BLVD","OVERLAND PARK","KS","66210","20","091","0531.02","28140"
"216","THE FELTON BANK","120 W MAIN ST","FELTON","DE","19943","10","001","0428.00","20100"
"217","THE BLACK EARTH STATE BANK","1030 MILLS ST","BLACK EARTH","WI","53515","55","025","0131.00","31540"
"218","THE WOODHOUSE & BARTLEY BANK","445 CANAL ST","BLOOMINGTON","WI","53804","55","043","9604.00",""
"219","MONROE BANK","210 E KIRKWOOD AVE","BLOOMINGTON","IN","47408","18","105","0001.00","14020"
"220","FIRSTBANK OF LONGMONT","1707 MAIN ST","LONGMONT","CO","80501","08","013","9999.03","14500"
"221","AMERICAN TRUST & SAVINGS BANK","1321 119TH ST","WHITING","IN","46394","18","089","0402.00","23844"
"222","THE MERCHANTS & FARMERS BANK","CHURCH AND HARVARD STREETS","MELVILLE","LA","71353","22","097","9999.03",""
"223","BADGER STATE BANK","201 E AMELIA ST","CASSVILLE","WI","53806","55","043","9605.00",""
"224","MID-WISCONSIN BANK","132 W STATE ST","MEDFORD","WI","54451","55","119","9605.00",""
"225","FARMERS SAVINGS BANK","345 HIGHWAY 151 W","WALFORD","IA","52351","19","113","0107.00","16300"
"226","COMMUNITY BANK OF CENTRAL WISCONSIN","1122 N DIVISION ST","COLBY","WI","54421","55","019","9501.00",""
"227","THE HERNDON NATIONAL BANK","MAIN STREET","HERNDON","PA","17830","42","097","9999.03",""
"228","BANK OF PARSONS","1230 MAIN ST","PARSONS","KS","67357","20","099","9501.00",""
"229","CASTLE BANK, NATIONAL ASSOCIATION","141 W LINCOLN HWY","DEKALB","IL","60115","17","037","0013.00","20994"
"230","FIRST COMMUNITY BANK","301 SE MAIN ST","LEES SUMMIT","MO","64063","29","095","0137.03","28140"
"231","POLK COUNTY BANK","5601 MERLE HAY RD","JOHNSTON","IA","50131","19","153","0117.02","19780"
"232","THE BANK OF BONIFAY","300 N WAUKESHA ST","BONIFAY","FL","32425","12","059","9999.03",""
"233","CHICAGO COMMUNITY BANK","1110 W 35TH ST","CHICAGO","IL","60609","17","031","8397.00","16974"
"234","HERITAGE BANKING GROUP","114 S PEARL ST","CARTHAGE","MS","39051","28","079","0406.00",""
"235","HARVARD STATE BANK","302 N CLAY AVE","HARVARD","NE","68944","31","035","9621.00",""
"236","FIRST NATIONAL BANK","205 W OAK ST","FORT COLLINS","CO","80521","08","069","0001.00","22660"
"237","STATE BANK OF LEDYARD","210 EDMUNDS ST","LEDYARD","IA","50556","19","109","9999.03",""
"238","FIRSTBANK - WEST MICHIGAN","302 W MAIN ST","IONIA","MI","48846","26","067","0317.00",""
"239","COMMUNITY BANK & TRUST COMPANY","125 N STATE ST","CLARKS SUMMIT","PA","18411","42","069","1105.00","42540"
